No,Time,Protocol,Local IP,Local Port,Remote IP,Remote Port,Status,PID
1,21:30:54,TCP,10.189.64.115,55464,148.113.9.95,443,ESTABLISHED,3628
2,21:30:54,TCP,127.0.0.1,49672,127.0.0.1,49673,ESTABLISHED,4480
3,21:30:54,TCP,10.189.64.115,55507,20.184.175.7,443,ESTABLISHED,10604
4,21:30:54,TCP,10.189.64.115,55466,57.144.209.32,5222,ESTABLISHED,11468
5,21:30:54,TCP,10.189.64.115,55524,40.74.98.199,443,ESTABLISHED,13928
6,21:30:54,TCP,10.189.64.115,55472,4.213.25.241,443,ESTABLISHED,3960
7,21:30:54,TCP,127.0.0.1,49675,127.0.0.1,49674,ESTABLISHED,4480
8,21:30:54,TCP,10.189.64.115,55551,51.11.192.49,443,ESTABLISHED,7564
9,21:30:54,TCP,127.0.0.1,49673,127.0.0.1,49672,ESTABLISHED,4480
10,21:30:54,TCP,10.189.64.115,55519,13.67.9.5,443,ESTABLISHED,10604
11,21:30:54,TCP,10.189.64.115,55548,4.225.11.192,443,ESTABLISHED,10604
12,21:30:54,TCP,127.0.0.1,49674,127.0.0.1,49675,ESTABLISHED,4480
13,21:30:57,TCP,10.189.64.115,55563,140.82.112.21,443,ESTABLISHED,7564
