No,Time,Protocol,Local IP,Local Port,Remote IP,Remote Port,Status,PID,Risk
1,21:21:35,UDP,0.0.0.0,5353,-,-,NONE,4348,NORMAL
2,21:21:35,UDP,::1,53903,-,-,NONE,3768,NORMAL
3,21:21:35,UDP,0.0.0.0,50001,-,-,NONE,3628,NORMAL
4,21:21:36,UDP,0.0.0.0,5353,-,-,NONE,13180,NORMAL
5,21:21:36,UDP,::,57576,-,-,NONE,8464,NORMAL
6,21:21:36,TCP,127.0.0.1,27017,-,-,LISTEN,3776,WARNING
7,21:21:36,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50585,2a06:98c1:3109::6812:2159,443,CLOSE_WAIT,10408,NORMAL
8,21:21:36,TCP,::,1521,-,-,LISTEN,3804,WARNING
9,21:21:36,UDP,fe80::d6c8:7201:2f52:4b4a,2177,-,-,NONE,7968,NORMAL
10,21:21:36,TCP,0.0.0.0,49677,-,-,LISTEN,3768,WARNING
11,21:21:36,UDP,0.0.0.0,57576,-,-,NONE,8464,NORMAL
12,21:21:36,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61366,64:ff9b::4e1:bc0,443,ESTABLISHED,10604,NORMAL
13,21:21:36,UDP,10.142.193.11,137,-,-,NONE,4,NORMAL
14,21:21:36,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61386,64:ff9b::682e:a2e7,443,ESTABLISHED,7564,NORMAL
15,21:21:36,UDP,10.142.193.11,2177,-,-,NONE,7968,NORMAL
16,21:21:36,UDP,10.142.193.11,1900,-,-,NONE,7204,NORMAL
17,21:21:36,TCP,::,33060,-,-,LISTEN,4480,WARNING
18,21:21:36,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,49480,64:ff9b::496:df6f,443,ESTABLISHED,10604,NORMAL
19,21:21:37,TCP,0.0.0.0,49667,-,-,LISTEN,1816,WARNING
20,21:21:37,TCP,0.0.0.0,33060,-,-,LISTEN,4480,WARNING
21,21:21:37,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50588,2a06:98c1:3109::6812:2159,443,CLOSE_WAIT,10408,NORMAL
22,21:21:37,TCP,127.0.0.1,49669,-,-,LISTEN,3804,WARNING
23,21:21:37,TCP,::,445,-,-,LISTEN,4,WARNING
24,21:21:37,UDP,0.0.0.0,5353,-,-,NONE,8464,NORMAL
25,21:21:37,UDP,0.0.0.0,5355,-,-,NONE,3028,NORMAL
26,21:21:37,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,59822,2404:6800:4009:80d::200a,443,TIME_WAIT,0,NORMAL
27,21:21:37,TCP,0.0.0.0,8080,-,-,LISTEN,3804,WARNING
28,21:21:38,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61352,2404:6800:4002:81c::2003,443,CLOSE_WAIT,16428,NORMAL
29,21:21:38,TCP,10.142.193.11,53055,142.250.206.14,443,ESTABLISHED,16428,NORMAL
30,21:21:38,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50596,2600:140f:d400::17d3:69c2,443,CLOSE_WAIT,10408,NORMAL
31,21:21:38,UDP,::1,1900,-,-,NONE,7204,NORMAL
32,21:21:38,UDP,::,5353,-,-,NONE,4348,NORMAL
33,21:21:38,UDP,::,123,-,-,NONE,2844,NORMAL
34,21:21:38,TCP,::1,49676,::1,1521,ESTABLISHED,3768,WARNING
35,21:21:38,UDP,::,5353,-,-,NONE,13180,NORMAL
36,21:21:38,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61376,64:ff9b::8c52:7116,443,FIN_WAIT1,7564,NORMAL
37,21:21:38,UDP,10.142.193.11,138,-,-,NONE,4,NORMAL
38,21:21:38,TCP,127.0.0.1,51689,-,-,LISTEN,7564,WARNING
39,21:21:39,TCP,0.0.0.0,7070,-,-,LISTEN,3628,WARNING
40,21:21:39,TCP,0.0.0.0,1521,-,-,LISTEN,3804,WARNING
41,21:21:39,TCP,0.0.0.0,135,-,-,LISTEN,604,WARNING
42,21:21:39,TCP,10.142.193.11,50300,35.190.80.1,443,ESTABLISHED,8464,NORMAL
43,21:21:39,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61374,64:ff9b::8c52:7116,443,FIN_WAIT1,7564,NORMAL
44,21:21:39,TCP,::,49671,-,-,LISTEN,756,WARNING
45,21:21:39,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50587,2a06:98c1:3109::6812:2159,443,CLOSE_WAIT,10408,NORMAL
46,21:21:39,TCP,10.142.193.11,49362,148.113.9.95,443,ESTABLISHED,3628,NORMAL
47,21:21:40,TCP,0.0.0.0,5040,-,-,LISTEN,6552,WARNING
48,21:21:40,UDP,0.0.0.0,5353,-,-,NONE,3028,NORMAL
49,21:21:40,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61384,2603:1063:27:1::14,443,ESTABLISHED,1768,NORMAL
50,21:21:40,UDP,::,5355,-,-,NONE,3028,NORMAL
51,21:21:40,TCP,0.0.0.0,49665,-,-,LISTEN,684,WARNING
52,21:21:40,UDP,::,5353,-,-,NONE,8464,NORMAL
53,21:21:40,TCP,::,49677,-,-,LISTEN,3768,WARNING
54,21:21:41,TCP,::,8080,-,-,LISTEN,3804,WARNING
55,21:21:41,TCP,::,3306,-,-,LISTEN,4480,WARNING
56,21:21:41,UDP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,2177,-,-,NONE,7968,NORMAL
57,21:21:41,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50584,2a06:98c1:3109::6812:2159,443,CLOSE_WAIT,10408,NORMAL
58,21:21:41,TCP,::,49665,-,-,LISTEN,684,WARNING
59,21:21:41,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,59826,2603:1040:a06:8::421,443,ESTABLISHED,8464,NORMAL
60,21:21:41,TCP,::,49668,-,-,LISTEN,3364,WARNING
61,21:21:41,UDP,127.0.0.1,49664,-,-,NONE,3668,NORMAL
62,21:21:41,UDP,fe80::d6c8:7201:2f52:4b4a,1900,-,-,NONE,7204,NORMAL
63,21:21:42,TCP,127.0.0.1,49673,127.0.0.1,49672,ESTABLISHED,4480,WARNING
64,21:21:42,TCP,::,135,-,-,LISTEN,604,WARNING
65,21:21:42,TCP,::,49667,-,-,LISTEN,1816,WARNING
66,21:21:42,UDP,127.0.0.1,63563,-,-,NONE,7204,NORMAL
67,21:21:42,TCP,0.0.0.0,49664,-,-,LISTEN,848,WARNING
68,21:21:42,TCP,0.0.0.0,445,-,-,LISTEN,4,WARNING
69,21:21:42,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50586,2a06:98c1:3109::6812:2159,443,CLOSE_WAIT,10408,NORMAL
70,21:21:42,UDP,10.142.193.11,63562,-,-,NONE,7204,NORMAL
71,21:21:42,UDP,0.0.0.0,5050,-,-,NONE,6552,NORMAL
72,21:21:43,UDP,::1,63561,-,-,NONE,7204,NORMAL
73,21:21:43,TCP,10.142.193.11,61355,13.67.9.5,443,ESTABLISHED,10604,NORMAL
74,21:21:43,UDP,0.0.0.0,123,-,-,NONE,2844,NORMAL
75,21:21:43,UDP,2402:8100:281a:b8e6:4ba6:72d:692d:f199,2177,-,-,NONE,7968,NORMAL
76,21:21:43,TCP,0.0.0.0,3306,-,-,LISTEN,4480,WARNING
77,21:21:43,TCP,::,5357,-,-,LISTEN,4,WARNING
78,21:21:43,UDP,::,5353,-,-,NONE,3028,NORMAL
79,21:21:43,TCP,::,49666,-,-,LISTEN,1284,WARNING
80,21:21:43,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,50070,64:ff9b::bce2:8804,443,ESTABLISHED,8464,NORMAL
81,21:21:43,UDP,::,3702,-,-,NONE,9884,NORMAL
82,21:21:43,TCP,::,49664,-,-,LISTEN,848,WARNING
83,21:21:43,UDP,0.0.0.0,3702,-,-,NONE,9884,NORMAL
84,21:21:43,TCP,127.0.0.1,49675,127.0.0.1,49674,ESTABLISHED,4480,WARNING
85,21:21:44,UDP,127.0.0.1,1900,-,-,NONE,7204,NORMAL
86,21:21:44,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61377,64:ff9b::8c52:7116,443,FIN_WAIT1,10604,NORMAL
